intent,category,question,answer,source
institution,strategie,CitizenLab est-il aligné avec les ODD ?,Oui.,Documents stratégiques
institution,strategie,CitizenLab contribue-t-il à la démocratie ?,Oui.,Mission
institution,strategie,CitizenLab agit-il sur la redevabilité ?,Oui.,Transparence
institution,strategie,CitizenLab influence-t-il les politiques publiques ?,Indirectement.,Impact
institution,strategie,CitizenLab est-il un acteur de référence ?,Oui.,Crédibilité
tech,rag,Pourquoi structurer une base RAG ?,Pour des réponses fiables et traçables.,Architecture IA
tech,rag,La base RAG contient-elle des doublons ?,Oui volontairement pour la robustesse.,Bonne pratique RAG
tech,rag,La base RAG est-elle mise à jour ?,Oui.,Gouvernance
tech,rag,Peut-on ajouter de nouveaux CSV ?,Oui.,Architecture
tech,rag,Le chatbot peut-il changer de ton ?,Oui selon le contexte.,Prompt engineering
tech,rag,Le chatbot comprend-il des fautes ?,Oui.,NLP
tech,rag,Le chatbot comprend-il le langage simple ?,Oui.,Accessibilité
tech,rag,Le chatbot comprend-il le wolof ?,À terme.,Roadmap
tech,rag,Le chatbot fonctionne-t-il hors ligne ?,Non.,Limites techniques
tech,rag,Le chatbot est-il hébergé localement ?,Selon l’architecture.,Options techniques
ethique,confiance,Le chatbot explique-t-il ses limites ?,Oui.,Charte IA
ethique,confiance,Le chatbot peut-il dire “je ne sais pas” ?,Oui.,Sécurité IA
ethique,confiance,Le chatbot est-il transparent ?,Oui.,Gouvernance
ethique,confiance,Le chatbot est-il fiable ?,Oui car basé sur documents.,RAG
ethique,confiance,Le chatbot renforce-t-il la confiance ?,Oui.,Impact
ethique,confiance,Le chatbot respecte-t-il la neutralité ?,Oui.,Charte
ethique,confiance,Le chatbot respecte-t-il la vie privée ?,Oui.,Politique données
ethique,confiance,Le chatbot stocke-t-il des données sensibles ?,Non.,Sécurité
ethique,confiance,Le chatbot peut-il être désactivé ?,Oui.,Contrôle
ethique,confiance,Le chatbot est-il supervisé ?,Oui.,Gouvernance
